tca00770	Pantothenate and CoA biosynthesis - Tribolium castaneum (red flour beetle)
tca00780	Biotin metabolism - Tribolium castaneum (red flour beetle)
tca00785	Lipoic acid metabolism - Tribolium castaneum (red flour beetle)
tca00790	Folate biosynthesis - Tribolium castaneum (red flour beetle)
tca00670	One carbon pool by folate - Tribolium castaneum (red flour beetle)
tca00830	Retinol metabolism - Tribolium castaneum (red flour beetle)
tca00860	Porphyrin metabolism - Tribolium castaneum (red flour beetle)
tca00130	Ubiquinone and other terpenoid-quinone biosynthesis - Tribolium castaneum (red flour beetle)
tca00900	Terpenoid backbone biosynthesis - Tribolium castaneum (red flour beetle)
tca00981	Insect hormone biosynthesis - Tribolium castaneum (red flour beetle)
tca00232	Caffeine metabolism - Tribolium castaneum (red flour beetle)
tca00980	Metabolism of xenobiotics by cytochrome P450 - Tribolium castaneum (red flour beetle)
tca00982	Drug metabolism - cytochrome P450 - Tribolium castaneum (red flour beetle)
tca00983	Drug metabolism - other enzymes - Tribolium castaneum (red flour beetle)
tca03020	RNA polymerase - Tribolium castaneum (red flour beetle)
tca03022	Basal transcription factors - Tribolium castaneum (red flour beetle)
tca03040	Spliceosome - Tribolium castaneum (red flour beetle)
tca03010	Ribosome - Tribolium castaneum (red flour beetle)
tca00970	Aminoacyl-tRNA biosynthesis - Tribolium castaneum (red flour beetle)
tca03013	Nucleocytoplasmic transport - Tribolium castaneum (red flour beetle)
tca03015	mRNA surveillance pathway - Tribolium castaneum (red flour beetle)
tca03008	Ribosome biogenesis in eukaryotes - Tribolium castaneum (red flour beetle)
tca03060	Protein export - Tribolium castaneum (red flour beetle)
tca04141	Protein processing in endoplasmic reticulum - Tribolium castaneum (red flour beetle)
tca04130	SNARE interactions in vesicular transport - Tribolium castaneum (red flour beetle)
tca04120	Ubiquitin mediated proteolysis - Tribolium castaneum (red flour beetle)
tca04122	Sulfur relay system - Tribolium castaneum (red flour beetle)
tca03050	Proteasome - Tribolium castaneum (red flour beetle)
tca03018	RNA degradation - Tribolium castaneum (red flour beetle)
tca03030	DNA replication - Tribolium castaneum (red flour beetle)
tca03410	Base excision repair - Tribolium castaneum (red flour beetle)
tca03420	Nucleotide excision repair - Tribolium castaneum (red flour beetle)
tca03430	Mismatch repair - Tribolium castaneum (red flour beetle)
tca03440	Homologous recombination - Tribolium castaneum (red flour beetle)
tca03450	Non-homologous end-joining - Tribolium castaneum (red flour beetle)
tca03460	Fanconi anemia pathway - Tribolium castaneum (red flour beetle)
tca03082	ATP-dependent chromatin remodeling - Tribolium castaneum (red flour beetle)
tca03083	Polycomb repressive complex - Tribolium castaneum (red flour beetle)
tca03250	Viral life cycle - HIV-1 - Tribolium castaneum (red flour beetle)
